id,name
1000,Assamese
1002,Assamese
1999,Others
2000,Bengali
2007,Bengali
2011,Chakma
2015,Haijong/Hajong
2044,Rajbangsi
2999,Others
3000,Bodo
3001,Bodo/Boro
3003,Kachari
3004,Mech/Mechhia
3999,Others
4000,Dogri
4001,Dogri
4999,Others
5000,Gujarati
5018,Gujarati
5019,Gujrao/Gujrau
5052,Pattani
5054,Ponchi
5057,Saurashtra/Saurashtri
5999,Others
6000,Hindi
6030,Awadhi
6040,Baghati/Baghati Pahari
6042,Bagheli/Baghel Khandi
6045,Bagri Rajasthani
6066,Banjari
6086,Bhadrawahi
6089,Bhagoria
6096,Bharmauri/Gaddi
6102,Bhojpuri
6119,Bishnoi
6123,Brajbhasha
6125,Bundeli/Bundel Khandi
6133,Chambeali/Chamrali
6142,Chhattisgarhi
6149,Churahi
6173,Dhundhari
6195,Garhwali
6198,Gawari
6207,Gojri/Gujjari/Gujar
6231,Handuri
6232,Hara/Harauti
6235,Haryanvi
6240,Hindi
6265,Jaunpuri/Jaunsari
6291,Kangri
6311,Khari Boli
6320,Khortha/Khotta
6336,Kulvi
6340,Kumauni
6345,Kurmali Thar
6353,Lamani/Lambadi
6355,Laria
6358,Lodhi
6376,Magadhi/Magahi
6391,Malvi
6394,Mandeali
6400,Marwari
6408,Mewari
6409,Mewati
6420,Nagpuria
6432,Nimadi
6438,Padari
6439,Pahari
6449,Palmuha
6451,Panch Pargania
6452,Pando/Pandwani
6454,Pangwali
6466,Pawari/Powari
6476,Puran/Puran Bhasha
6489,Rajasthani
6503,Sadan/Sadri
6530,Sirmauri
6535,Sondwari
6541,Sugali
6547,Surgujia
6548,Surjapuri
6999,Others
7000,Kannada
7002,Badaga
7016,Kannada
7027,Kuruba/Kurumba
7041,Prakritha/Prakritha Bhasha
7999,Others
8000,Kashmiri
8005,Kashmiri
8010,Kishtwari
8018,Siraji
8019,Dardi
8999,Others
9000,Konkani
9011,Konkani
9013,Kudubi/Kudumbi
9016,Malwani
9020,Nawait
9028,Gorboli/Goru/Gorwani
9999,Others
10000,Maithili
10008,Maithili
10011,Purbi Maithili
10013,Thati
10014,Tharu
10999,Others
11000,Malayalam
11016,Malayalam
11023,Pania
11026,Yerava
11999,Others
12000,Manipuri
12003,Manipuri
12999,Others
13000,Marathi
13004,Are
13060,Koli
13071,Marathi
13999,Others
14000,Nepali
14011,Nepali
14999,Others
15000,Odia
15006,Bhatri
15007,Bhuiya/Bhuyan[Ori]
15010,Bhumijali
15014,Desia
15043,Odia
15051,Proja (Ori)
15055,Relli
15058,Sambalpuri
15999,Others
16000,Punjabi
16002,Bagri
16005,Bhateali
16006,Bilaspuri Kahluri
16038,Punjabi
16999,Others
17000,Sanskrit
17002,Sanskrit
17999,Others
18000,Santali
18010,Karmali
18011,Mahili
18040,Santali
18999,Others
19000,Sindhi
19002,Bhatia
19008,Kachchhi
19014,Sindhi
19999,Others
20000,Tamil
20006,Irula/Irular Mozhi
20009,Kaikadi
20015,Korava
20027,Tamil
20029,Yerukala/Yerukula
20999,Others
21000,Telugu
21046,Telugu
21048,Vadari
21999,Others
22000,Urdu
22015,Urdu
22016,Bhansari
22999,Others
23000,Adi
23003,Adi
23006,Adi Gallong/Gallong
23010,Adi Miniyong/Miniyong
23040,Talgalo
23999,Others
24000,Afghani/Kabuli/Pashto
24001,Afghani/Kabuli/Pashto
24999,Others
25000,Anal
25001,Anal
25999,Others
26000,Angami
26002,Angami
26999,Others
27000,Ao
27001,Ao
27003,Chungli
27005,Mongsen
27999,Others
28000,Arabic/Arbi
28001,Arabic/Arbi
28999,Others
29000,Balti
29002,Balti
29999,Others
30000,Bhili/Bhilodi
30002,Baori
30003,Barel
30006,Bhilali
30007,Bhili/Bhilodi
30011,Chodhari
30015,Dhodia
30020,Gamti/Gavit
30021,Garasia
30035,Kokna/Kokni/Kukna
30049,Mawchi
30066,Paradhi
30068,Pawri
30070,Rathi
30073,Tadavi
