crop,normal_area_dafw,area_sown_2025_26,area_sown_2024_25,difference_area,pct_increase_decrease
Rice,403.09,438.51,430.06,8.45,1.97
Total Pulses,129.61,118.06,117.25,0.81,0.69
Tur,44.71,45.81,46.26,-0.45,-0.98
Kulthi,1.72,0.52,0.38,0.15,38.86
Urad,32.64,23.66,22.14,1.51,6.83
Moong,35.69,34.54,34.86,-0.32,-0.91
Other Pulses,5.15,4.3,3.98,0.32,8.0
Moth Bean,9.7,9.23,9.63,-0.4,-4.13
Total Coarse Cereals,180.71,192.91,180.75,12.17,6.73
Jowar,15.07,14.07,14.14,-0.07,-0.51
Bajra,70.69,68.44,68.07,0.37,0.55
Ragi,11.52,10.24,9.82,0.42,4.32
Maize,78.95,94.84,84.3,10.54,12.51
Other Small Millets,4.48,5.31,4.42,0.9,20.34
Total Oilseeds,194.63,188.81,193.93,-5.12,-2.64
Groundnut,45.1,47.99,47.65,0.34,0.71
Sesamum,10.32,10.27,10.86,-0.59,-5.39
Sunflower,1.29,0.68,0.71,-0.03,-4.86
Soybean,127.19,120.43,126.24,-5.81,-4.6
Nigerseed,1.08,0.87,0.76,0.11,14.53
Castorseed,9.65,8.52,7.64,0.87,11.45
Other Oilseeds,0.0,0.06,0.07,-0.01,-16.61
Sugarcane,52.51,57.31,55.68,1.64,2.94
Total Jute and Mesta,6.6,5.56,5.74,-0.18,-3.08
Jute,6.19,5.36,5.51,-0.15,-2.75
Mesta,0.4,0.2,0.23,-0.03,-10.99
Cotton,129.5,109.64,112.48,-2.85,-2.53
Grand Total,1096.65,1110.8,1095.88,14.92,1.36
