state,tru_id,age_group_id,population_total,population_male,population_female,main_workers_total,main_workers_male,main_workers_female,marginal_workers_total,marginal_workers_male,marginal_workers_female,marg_3_6mo_total,marg_3_6mo_male,marg_3_6mo_female,marg_less_3mo_total,marg_less_3mo_male,marg_less_3mo_female,non_workers_total,non_workers_male,non_workers_female,seeking_work_total,seeking_work_male,seeking_work_female
0,1,1,126928126,66300466,60627660,1108808,630875,477933,357920,180532,177388,1066910,554665,512245,328654,178149,150505,124394488,64934394,59460094,1084783,576354,508429
0,1,2,132709212,69418835,63290377,3244439,2033172,1211267,1542262,779362,762900,2808324,1450309,1358015,1263407,726515,536892,125114187,65155992,59958195,2853891,1577333,1276558
0,1,3,120526449,63982396,56544053,17703310,12721891,4981419,3054963,1645507,1409456,9458107,5330282,4127825,6501739,4165965,2335774,90310069,44284716,46025353,15134928,8423500,6711428
0,1,4,111424222,57584693,53839529,38664170,28977411,9686759,3026931,1519224,1507707,13773259,7501893,6271366,9578750,6126314,3452436,55959862,19586165,36373697,15763566,7602474,8161092
0,1,5,101413965,51344208,50069757,48666298,36901575,11764723,2565240,1145550,1419690,13228373,6786348,6442025,8560839,5250800,3310039,36954054,6510735,30443319,9133775,3057158,6076617
0,1,6,88594951,44660674,43934277,47152411,35600323,11552088,2161959,872943,1289016,11472953,5475976,5996977,6956395,4069257,2887138,27807628,2711432,25096196,5101348,1115810,3985538
0,1,7,85140684,42919381,42221303,47503671,35372529,12131142,2034963,794171,1240792,10870196,5005130,5865066,6337718,3618140,2719578,24731854,1747551,22984303,3839253,595714,3243539
0,1,8,134756439,69683500,65072939,77295643,58397073,18898570,3060740,1198933,1861807,16216156,7416270,8799886,8601272,4954681,3646591,38183900,2671224,35512676,4210096,652220,3557876
0,1,9,88215309,45299278,42916031,47440004,36456219,10983785,2017611,799649,1217962,9585365,4428473,5156892,4270417,2498131,1772286,29172329,3614937,25557392,1870576,414608,1455968
0,1,10,64118690,31646075,32472615,23840363,18216604,5623759,1625481,750244,875237,6009738,3120663,2889075,2241529,1398142,843387,32643108,9558564,23084544,1174598,421518,753080
0,1,11,28441345,14142102,14299243,6917739,5560331,1357408,583408,327584,255824,1717899,1036324,681575,515953,351926,164027,19222299,7217863,12004436,319143,133677,185466
0,1,12,11289005,5283695,6005310,1850952,1463786,387166,162259,94368,67891,485503,285648,199855,157989,102790,55199,8790291,3439893,5350398,115186,46788,68398
0,1,13,4489802,2372881,2116921,1177763,878187,299576,65112,32251,32861,371665,197600,174065,162432,100859,61573,2875262,1264843,1610419,108256,53118,55138
0,1,14,730072019,375474130,354597889,324425507,244427021,79998486,17922407,7975977,9946430,84604409,41944372,42660037,50807130,30683288,20123842,303119696,81126760,221992936,55053542,21861484,33192058
0,1,15,103849040,51071872,52777168,32609054,25240721,7368333,2371148,1172196,1198952,8213140,4442635,3770505,2915471,1852858,1062613,60655698,20216320,40439378,1608927,601983,1006944
0,2,16,833748852,427781058,405967794,245868421,178095330,67773091,19822660,8697104,11125556,83052011,40044579,43007432,48332810,28802771,19530039,485005760,200944045,284061715,38254008,15370813,22883195
0,2,1,93807612,48825259,44982353,807814,452342,355472,339420,170481,168939,738745,379884,358861,233906,126235,107671,91921633,47822552,44099081,769746,406387,363359
0,2,2,96804494,50488158,46316336,2461196,1490267,970929,1473286,738874,734412,2281880,1158211,1123669,1059224,604721,454503,90588132,47100806,43487326,2084893,1140156,944737
0,2,3,83902472,44570557,39331915,13265532,9213257,4052275,2812087,1483554,1328533,8147451,4499043,3648408,5681644,3610314,2071330,59677402,29374703,30302699,10312059,5709844,4602215
0,2,4,73835046,38138662,35696384,26970254,19459188,7511066,2668060,1280766,1387294,11746284,6183866,5562418,8231955,5197306,3034649,32450448,11214842,21235606,9422772,4472469,4950303
0,2,5,66068270,33375989,32692281,32040359,23336334,8704025,2235081,941150,1293931,11257886,5538638,5719248,7373418,4448826,2924592,20534944,3559867,16975077,5215130,1665344,3549786
0,2,6,57911779,28934192,28977587,30774663,22207414,8567249,1883233,715254,1167979,9824815,4478125,5346690,6060012,3481314,2578698,15429068,1533399,13895669,3030242,618714,2411528
0,2,7,56062707,28125561,27937146,31321754,22346701,8975053,1766151,652304,1113847,9325795,4111518,5214277,5541217,3113522,2427695,13649007,1015038,12633969,2331394,341982,1989412
