state,language_id,tru_id,person,male,female
0,1000,1,15311351,7810583,7500768
0,1000,2,13144701,6697715,6446986
0,1000,3,2166650,1112868,1053782
0,1002,1,14816414,7555350,7261064
0,1002,2,12680101,6458345,6221756
0,1002,3,2136313,1097005,1039308
0,1999,1,494937,255233,239704
0,1999,2,464600,239370,225230
0,1999,3,30337,15863,14474
0,2000,1,97237669,49798752,47438917
0,2000,2,69914845,35866210,34048635
0,2000,3,27322824,13932542,13390282
0,2007,1,96177835,49254753,46923082
0,2007,2,68921285,35356084,33565201
0,2007,3,27256550,13898669,13357881
0,2011,1,228281,116928,111353
0,2011,2,220162,112745,107417
0,2011,3,8119,4183,3936
0,2015,1,71792,36364,35428
0,2015,2,65601,33243,32358
0,2015,3,6191,3121,3070
0,2044,1,475861,244079,231782
0,2044,2,437408,224461,212947
0,2044,3,38453,19618,18835
0,2999,1,283900,146628,137272
0,2999,2,270389,139677,130712
0,2999,3,13511,6951,6560
0,3000,1,1482929,745017,737912
0,3000,2,1419762,712684,707078
0,3000,3,63167,32333,30834
0,3001,1,1454547,730541,724006
0,3001,2,1396225,700733,695492
0,3001,3,58322,29808,28514
0,3003,1,15984,8204,7780
0,3003,2,12784,6527,6257
0,3003,3,3200,1677,1523
0,3004,1,11546,5849,5697
0,3004,2,10064,5078,4986
0,3004,3,1482,771,711
0,3999,1,852,423,429
0,3999,2,689,346,343
0,3999,3,163,77,86
0,4000,1,2596767,1369581,1227186
0,4000,2,1903658,996807,906851
0,4000,3,693109,372774,320335
0,4001,1,2596763,1369578,1227185
0,4001,2,1903657,996806,906851
0,4001,3,693106,372772,320334
0,4999,1,4,3,1
0,4999,2,1,1,0
0,4999,3,3,2,1
0,5000,1,55492554,28562042,26930512
0,5000,2,32881496,16835772,16045724
0,5000,3,22611058,11726270,10884788
0,5018,1,55036204,28331451,26704753
0,5018,2,32767517,16777859,15989658
0,5018,3,22268687,11553592,10715095
0,5019,1,15431,7915,7516
0,5019,2,14626,7518,7108
0,5019,3,805,397,408
0,5052,1,16510,8296,8214
0,5052,2,15904,7976,7928
0,5052,3,606,320,286
0,5054,1,13812,7221,6591
0,5054,2,7516,3899,3617
0,5054,3,6296,3322,2974
0,5057,1,247702,124776,122926
0,5057,2,15888,8137,7751
0,5057,3,231814,116639,115175
0,5999,1,162895,82383,80512
0,5999,2,60045,30383,29662
0,5999,3,102850,52000,50850
0,6000,1,528347193,276610187,251737006
0,6000,2,386872201,201018956,185853245
0,6000,3,141474992,75591231,65883761
0,6030,1,3850906,1956073,1894833
0,6030,2,3731591,1892248,1839343
0,6030,3,119315,63825,55490
0,6040,1,15835,8141,7694
0,6040,2,15128,7771,7357
0,6040,3,707,370,337
0,6042,1,2679129,1379891,1299238
0,6042,2,2354669,1210613,1144056
0,6042,3,324460,169278,155182
0,6045,1,234227,123493,110734
0,6045,2,206796,109071,97725
0,6045,3,27431,14422,13009
0,6066,1,1581271,823468,757803
0,6066,2,1453870,756514,697356
0,6066,3,127401,66954,60447
0,6086,1,98806,50478,48328
0,6086,2,90354,46083,44271
0,6086,3,8452,4395,4057
0,6089,1,20924,10299,10625
0,6089,2,20841,10259,10582
0,6089,3,83,40,43
0,6096,1,181069,90634,90435
0,6096,2,175505,87745,87760
0,6096,3,5564,2889,2675
0,6102,1,50579447,26069236,24510211
0,6102,2,45323817,23181849,22141968
0,6102,3,5255630,2887387,2368243
0,6119,1,12079,4978,7101
0,6119,2,10521,4286,6235
0,6119,3,1558,692,866
0,6123,1,1556314,840267,716047
0,6123,2,1248175,674909,573266
0,6123,3,308139,165358,142781
0,6125,1,5626356,2974600,2651756
0,6125,2,4600216,2433554,2166662
0,6125,3,1026140,541046,485094
0,6133,1,125746,62452,63294
0,6133,2,107910,53287,54623
0,6133,3,17836,9165,8671
0,6142,1,16245190,8119432,8125758
0,6142,2,13461070,6713943,6747127
0,6142,3,2784120,1405489,1378631
0,6149,1,75552,38201,37351
0,6149,2,75422,38136,37286
0,6149,3,130,65,65
0,6173,1,1476446,763128,713318
0,6173,2,1196293,617793,578500
0,6173,3,280153,145335,134818
0,6195,1,2482089,1198416,1283673
0,6195,2,2004266,946910,1057356
0,6195,3,477823,251506,226317
0,6198,1,19062,9963,9099
0,6198,2,17400,9090,8310
0,6198,3,1662,873,789
0,6207,1,1227901,640395,587506
0,6207,2,1173849,611452,562397
0,6207,3,54052,28943,25109
0,6231,1,47803,24658,23145
0,6231,2,42436,21882,20554
0,6231,3,5367,2776,2591
0,6232,1,2944356,1528163,1416193
0,6232,2,2290012,1186853,1103159
0,6232,3,654344,341310,313034
0,6235,1,9806519,5216490,4590029
0,6235,2,8147073,4336083,3810990
0,6235,3,1659446,880407,779039
0,6240,1,322230097,170506524,151723573
0,6240,2,208823135,109700046,99123089
0,6240,3,113406962,60806478,52600484
0,6265,1,136779,71293,65486
0,6265,2,130195,67664,62531
0,6265,3,6584,3629,2955
0,6291,1,1117342,547695,569647
0,6291,2,1069044,522688,546356
0,6291,3,48298,25007,23291
0,6311,1,50195,26156,24039
0,6311,2,40310,20709,19601
0,6311,3,9885,5447,4438
0,6320,1,8038735,4138148,3900587
0,6320,2,7094593,3644396,3450197
0,6320,3,944142,493752,450390
0,6336,1,196295,99449,96846
0,6336,2,185690,94120,91570
0,6336,3,10605,5329,5276
0,6340,1,2081057,1012120,1068937
0,6340,2,1774955,852859,922096
0,6340,3,306102,159261,146841
0,6345,1,311175,157107,154068
0,6345,2,308621,155776,152845
0,6345,3,2554,1331,1223
0,6353,1,3276548,1677395,1599153
0,6353,2,2930089,1498172,1431917
0,6353,3,346459,179223,167236
0,6355,1,89876,44092,45784
0,6355,2,86904,42635,44269
0,6355,3,2972,1457,1515
0,6358,1,139180,69225,69955
0,6358,2,132833,66053,66780
0,6358,3,6347,3172,3175
0,6376,1,12706825,6590948,6115877
0,6376,2,10972770,5676599,5296171
0,6376,3,1734055,914349,819706
0,6391,1,5212617,2651647,2560970
0,6391,2,4684735,2381397,2303338
0,6391,3,527882,270250,257632
0,6394,1,622590,307327,315263
0,6394,2,569835,280286,289549
0,6394,3,52755,27041,25714
0,6400,1,7831749,4065111,3766638
0,6400,2,5436951,2805244,2631707
0,6400,3,2394798,1259867,1134931
0,6408,1,4212262,2125491,2086771
0,6408,2,3681530,1852743,1828787
0,6408,3,530732,272748,257984
0,6409,1,856643,446446,410197
0,6409,2,806240,419941,386299
0,6409,3,50403,26505,23898
0,6420,1,763014,384858,378156
0,6420,2,680822,342979,337843
0,6420,3,82192,41879,40313
0,6432,1,2309265,1178004,1131261
0,6432,2,2074582,1057548,1017034
0,6432,3,234683,120456,114227
0,6438,1,17279,9076,8203
0,6438,2,17246,9063,8183
0,6438,3,33,13,20
0,6439,1,3253889,1651189,1602700
0,6439,2,3001723,1516737,1484986
0,6439,3,252166,134452,117714
0,6449,1,23579,11881,11698
0,6449,2,23278,11711,11567
0,6449,3,301,170,131
0,6451,1,244914,125800,119114
0,6451,2,226645,116219,110426
0,6451,3,18269,9581,8688
0,6452,1,15595,7971,7624
0,6452,2,15146,7732,7414
0,6452,3,449,239,210
0,6454,1,18668,9346,9322
0,6454,2,18156,9077,9079
0,6454,3,512,269,243
0,6466,1,325772,162606,163166
0,6466,2,313871,156525,157346
0,6466,3,11901,6081,5820
0,6476,1,12375,6220,6155
0,6476,2,12210,6135,6075
0,6476,3,165,85,80
0,6489,1,25806344,13314254,12492090
0,6489,2,20164599,10382104,9782495
0,6489,3,5641745,2932150,2709595
0,6503,1,4345677,2180340,2165337
0,6503,2,4045994,2030137,2015857
0,6503,3,299683,150203,149480
0,6530,1,107401,55113,52288
0,6530,2,105752,54136,51616
0,6530,3,1649,977,672
0,6535,1,229788,118221,111567
0,6535,2,229032,117837,111195
0,6535,3,756,384,372
0,6541,1,170987,87078,83909
0,6541,2,154358,78769,75589
0,6541,3,16629,8309,8320
0,6547,1,1738256,873569,864687
0,6547,2,1641682,824833,816849
0,6547,3,96574,48736,47838
0,6548,1,2256228,1165836,1090392
0,6548,2,2214811,1143889,1070922
0,6548,3,41417,21947,19470
0,6999,1,16711170,8799795,7911375
0,6999,2,15456650,8121866,7334784
0,6999,3,1254520,677929,576591
0,7000,1,43706512,22111292,21595220
0,7000,2,30738803,15522360,15216443
0,7000,3,12967709,6588932,6378777
0,7002,1,133550,63780,69770
0,7002,2,81090,38645,42445
0,7002,3,52460,25135,27325
0,7016,1,43506272,22014001,21492271
0,7016,2,30614889,15462374,15152515
0,7016,3,12891383,6551627,6339756
0,7027,1,24189,11881,12308
0,7027,2,21295,10462,10833
0,7027,3,2894,1419,1475
0,7041,1,12257,6372,5885
0,7041,2,2868,1544,1324
0,7041,3,9389,4828,4561
0,7999,1,30244,15258,14986
0,7999,2,18661,9335,9326
0,7999,3,11583,5923,5660
0,8000,1,6797587,3505539,3292048
0,8000,2,4605122,2374391,2230731
0,8000,3,2192465,1131148,1061317
0,8005,1,6554369,3380350,3174019
0,8005,2,4372791,2255089,2117702
0,8005,3,2181578,1125261,1056317
0,8010,1,39748,20415,19333
0,8010,2,36596,18725,17871
0,8010,3,3152,1690,1462
0,8018,1,124896,63823,61073
0,8018,2,119507,60918,58589
0,8018,3,5389,2905,2484
0,8019,1,25600,13544,12056
0,8019,2,24219,12761,11458
0,8019,3,1381,783,598
0,8999,1,52974,27407,25567
0,8999,2,52009,26898,25111
0,8999,3,965,509,456
0,9000,1,2256502,1104587,1151915
0,9000,2,970231,479789,490442
0,9000,3,1286271,624798,661473
0,9011,1,2146906,1048165,1098741
0,9011,2,876124,431164,444960
0,9011,3,1270782,617001,653781
0,9013,1,17209,8648,8561
0,9013,2,15910,7989,7921
0,9013,3,1299,659,640
0,9016,1,23617,11664,11953
0,9016,2,19695,9684,10011
0,9016,3,3922,1980,1942
0,9020,1,13123,6290,6833
0,9020,2,7128,3383,3745
0,9020,3,5995,2907,3088
0,9028,1,50259,27016,23243
0,9028,2,48927,26304,22623
